task_title,task_description,priority
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.6
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.41
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.98
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.34
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.62
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.77
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.8
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.17
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.16
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.51
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.76
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.62
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.78
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.35
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.73
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.49
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.88
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.05
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.97
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.1
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.95
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.77
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.54
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.93
Обновление README,Уточнить инструкции по запуску проекта.,0.08
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.16
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.95
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.65
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.98
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.83
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.36
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.2
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.3
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.03
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.15
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.93
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.19
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.98
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.85
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.93
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.82
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.09
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.02
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.46
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Редактирование стиля функцииа,Применить линтер ко всем модулям проекта.,0.14
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.85
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.92
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.96
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.4
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.34
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.88
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.43
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.75
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.97
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.81
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.27
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Обновление внутренней документации,Обновить описание API в Confluence.,0.14
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.98
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.86
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.92
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.8
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.17
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.57
Обновление README,Уточнить инструкции по запуску проекта.,0.11
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.45
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.53
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.64
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.39
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.9
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.78
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.24
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.84
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.53
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.15
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.4
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.31
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.23
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.98
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Редактирование стиля функцииа,Применить линтер ко всем модулям проекта.,0.04
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.3
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.47
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.9
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.96
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.32
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Обновление README,Уточнить инструкции по запуску проекта.,0.14
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.95
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.78
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.94
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.29
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Обновление внутренней документации,Обновить описание API в Confluence.,0.09
Очистка устаревшего функцииа,Провести рефакторинг старых функций без изменения логики.,0.1
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.64
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Редактирование стиля программуа,Применить линтер ко всем модулям проекта.,0.17
Обновление README,Уточнить инструкции по запуску проекта.,0.2
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.55
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.87
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.48
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.15
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.89
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.34
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.08
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.62
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.02
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.97
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.82
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.4
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.42
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.32
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.96
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.85
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.32
Обновление README,Уточнить инструкции по запуску проекта.,0.12
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.67
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.71
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.54
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.43
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.64
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.35
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.65
Добавление комментариев в функции,Дополнить модули поясняющими комментариями.,0.09
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.25
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.66
Обновление README,Уточнить инструкции по запуску проекта.,0.13
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.33
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.64
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.12
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.89
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.8
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.45
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.86
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.14
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.46
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.27
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.11
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.97
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.28
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.85
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.11
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.71
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Обновление внутренней документации,Обновить описание API в Confluence.,0.12
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.52
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.27
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.36
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.36
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.3
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.09
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.8
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.68
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.84
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.32
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.81
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.34
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.18
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.64
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.3
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.64
Обновление README,Уточнить инструкции по запуску проекта.,0.02
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.22
Обновление README,Уточнить инструкции по запуску проекта.,0.04
Обновление внутренней документации,Обновить описание API в Confluence.,0.0
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.47
Обновление внутренней документации,Обновить описание API в Confluence.,0.07
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.28
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.53
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.71
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.51
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.18
Очистка устаревшего функцииа,Провести рефакторинг старых функций без изменения логики.,0.07
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.8
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.26
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.25
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.24
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.92
Очистка устаревшего функцииа,Провести рефакторинг старых функций без изменения логики.,0.1
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.86
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.45
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.35
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Обновление внутренней документации,Обновить описание API в Confluence.,0.18
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.53
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.41
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.78
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.33
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.47
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.7
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.77
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.21
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.67
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.81
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.02
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.93
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.36
