task_title,task_description,priority
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.52
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.51
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.47
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.37
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.36
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.47
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.49
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.48
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.41
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.41
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.41
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.45
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.45
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.42
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.47
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.43
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.46
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.4
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.45
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.46
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.41
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.53
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.54
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.54
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.39
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.54
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.47
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.37
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.44
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.38
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.53
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.48
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.37
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.53
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.36
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.51
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.45
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.42
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.5
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.55
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.47
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.4
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.43
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.4
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.49
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.37
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.46
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.48
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.42
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.37
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.53
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.36
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.53
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.44
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.37
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.4
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.48
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.46
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.49
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.48
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.48
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.53
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.39
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.38
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.37
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.39
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.43
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.47
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.45
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.44
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.41
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.51
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.52
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.44
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.5
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.55
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.41
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.47
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.52
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.51
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.51
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.45
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.36
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.53
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.55
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.36
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.39
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.39
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.44
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.43
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.41
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.46
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.36
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.36
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.4
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.39
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.39
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.45
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.5
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.55
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.46
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.45
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.54
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.66
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.66
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.57
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.67
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.75
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.62
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.69
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.58
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.69
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.6
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.69
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.63
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.68
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.67
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.56
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.58
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.58
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.57
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.64
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.71
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.69
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.66
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.66
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.64
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.65
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.63
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.63
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.71
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.66
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.75
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.64
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.62
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.57
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.75
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.7
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.58
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.63
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.63
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.75
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.62
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.61
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.73
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.57
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.64
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.7
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.67
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.58
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.57
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.62
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.61
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.71
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.7
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.7
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.73
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.58
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.64
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.74
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.57
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.64
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.67
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.63
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.62
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.57
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.66
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.59
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.75
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.74
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.68
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.69
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.71
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.65
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.69
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.63
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.61
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.71
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.64
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.62
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.7
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.72
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.63
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.58
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.61
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.57
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.72
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.6
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.65
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.58
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.74
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.73
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.66
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.63
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.58
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.71
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.74
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.69
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.65
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.59
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.66
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
